                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3734,                  3.495,                 1.3697,                0.30007,                0.35758,                0.23603,                0.17519,                 1.1368,                 2.6868,                 1.2373,             0.00010349,             0.00010349,             0.00010349
                      2,                  1.105,                 2.2157,                 1.1881,                0.39664,                0.41923,                0.36392,                0.26958,                 1.0452,                 2.1392,                 1.1724,             0.00020576,             0.00020576,             0.00020576
                      3,                 1.0738,                 1.9653,                 1.1709,                0.40694,                0.44927,                0.38981,                0.28691,                 1.0274,                 1.9474,                 1.1541,             0.00030597,             0.00030597,             0.00030597
                      4,                 1.0389,                  1.854,                 1.1729,                0.48706,                0.43506,                0.40819,                0.30843,                 1.0088,                 1.9336,                  1.144,              0.0003037,              0.0003037,              0.0003037
                      5,                 1.0116,                 1.7411,                 1.1541,                 0.4058,                0.49737,                0.42363,                0.31251,                 1.0446,                  1.948,                 1.1814,              0.0003037,              0.0003037,              0.0003037
                      6,                0.98962,                 1.6084,                 1.1416,                0.46763,                0.48137,                0.44982,                0.34401,                 0.9639,                 1.8177,                 1.1448,             0.00030061,             0.00030061,             0.00030061
                      7,                0.97523,                 1.5837,                 1.1273,                0.48297,                 0.5094,                0.48319,                0.36213,                0.99111,                 1.8701,                 1.1525,             0.00029751,             0.00029751,             0.00029751
                      8,                0.93378,                 1.4808,                 1.0988,                0.51129,                0.49541,                0.49198,                0.37851,                0.96594,                 1.7505,                 1.1489,             0.00029441,             0.00029441,             0.00029441
                      9,                 0.9386,                 1.4249,                 1.0983,                0.49519,                0.47042,                0.46301,                0.35965,                0.96703,                 1.8422,                 1.1323,             0.00029131,             0.00029131,             0.00029131
                     10,                0.90122,                 1.3511,                  1.081,                0.49361,                0.50853,                0.50062,                0.38487,                0.97844,                 1.7333,                  1.128,             0.00028821,             0.00028821,             0.00028821
                     11,                0.89823,                 1.3464,                 1.0739,                0.56652,                0.48398,                0.52345,                0.40506,                0.96363,                  1.716,                 1.1324,             0.00028511,             0.00028511,             0.00028511
                     12,                0.87597,                 1.2794,                 1.0654,                0.54445,                0.46146,                0.48148,                0.37101,                0.97994,                 1.8081,                 1.1306,             0.00028201,             0.00028201,             0.00028201
                     13,                0.86312,                 1.2216,                 1.0649,                0.53635,                0.50381,                0.51258,                0.39778,                0.96292,                  1.675,                 1.1397,             0.00027891,             0.00027891,             0.00027891
                     14,                0.85413,                 1.1826,                 1.0543,                0.51771,                0.49593,                0.52181,                0.40429,                0.92906,                 1.6575,                 1.1069,             0.00027582,             0.00027582,             0.00027582
                     15,                0.83275,                 1.1386,                 1.0371,                 0.5336,                0.52574,                0.54639,                0.42466,                0.95606,                 1.5782,                 1.1073,             0.00027272,             0.00027272,             0.00027272
                     16,                0.83931,                 1.1128,                 1.0426,                0.52329,                0.53754,                0.52324,                0.40613,                0.96992,                 1.7119,                 1.1332,             0.00026962,             0.00026962,             0.00026962
                     17,                0.82467,                 1.0632,                 1.0348,                0.49424,                 0.5296,                0.52903,                0.41055,                0.95112,                 1.6659,                 1.1098,             0.00026652,             0.00026652,             0.00026652
                     18,                0.81816,                 1.0324,                 1.0299,                0.53658,                0.51116,                0.52808,                0.41346,                0.95118,                 1.6918,                 1.1231,             0.00026342,             0.00026342,             0.00026342
                     19,                0.80852,                 1.0065,                 1.0267,                0.59528,                0.48424,                0.52288,                0.41021,                 0.9538,                 1.7303,                 1.1263,             0.00026032,             0.00026032,             0.00026032
                     20,                0.79851,                 0.9605,                 1.0166,                0.56921,                0.50657,                 0.5245,                0.40746,                0.94721,                 1.6756,                 1.1116,             0.00025722,             0.00025722,             0.00025722
                     21,                0.79358,                0.94085,                 1.0133,                0.53435,                0.52072,                0.53735,                0.41974,                 0.9331,                 1.6552,                   1.12,             0.00025412,             0.00025412,             0.00025412
                     22,                0.78527,                0.91025,                 1.0199,                0.49643,                0.55766,                0.53729,                0.41924,                0.95412,                 1.6424,                 1.1291,             0.00025103,             0.00025103,             0.00025103
                     23,                 0.7765,                0.88296,                 1.0063,                0.58134,                0.48064,                0.51879,                0.39885,                0.94385,                 1.7614,                 1.1202,             0.00024793,             0.00024793,             0.00024793
                     24,                0.76988,                0.86219,                 1.0053,                0.49827,                0.51244,                0.53303,                 0.4125,                0.94996,                 1.8063,                 1.1134,             0.00024483,             0.00024483,             0.00024483
                     25,                0.75059,                0.83215,                0.99668,                0.54526,                0.51106,                 0.5315,                0.41554,                0.94115,                 1.7758,                 1.1175,             0.00024173,             0.00024173,             0.00024173
                     26,                0.75507,                0.82786,                0.99617,                0.51726,                0.54119,                0.52266,                0.40343,                 0.9846,                 1.8379,                 1.1563,             0.00023863,             0.00023863,             0.00023863
